"tab_name","tab_desc","series","module","var","var_desc","comment_var","is_weight","is_comment","is_questionnaire","tab_desc_ewas","var_desc_ewas","analyzable","is_ecological","is_binary","is_ordinal","var_desc_ewas_sub"
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URXUP8","Urinary perchlorate (ng/mL)","URDUP8LC",0,0,0,"perchlorate","perchlorate",1,0,0,0,NA
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URDUP8LC","Urinary perchlorate comment code",NA,0,1,0,"perchlorate","perchlorate",0,0,0,0,NA
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URXNO3","Urinary nitrate (ng/mL)","URDNO3LC",0,0,0,"perchlorate","perchlorate",1,0,0,0,NA
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URDNO3LC","Urinary nitrate comment code",NA,0,1,0,"perchlorate","perchlorate",0,0,0,0,NA
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URXSCN","Urinary thiocyanate (ng/mL)","URDSCNLC",0,0,0,"perchlorate","perchlorate",1,0,0,0,NA
"pernt_d","Perchlorate, Urinary Nitrate, Urinary Thiocyanate","2005-2006","laboratory","URDSCNLC","Urinary thiocyanate comment code",NA,0,1,0,"perchlorate","perchlorate",0,0,0,0,NA
