tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
vocwb_d,Volatile Organic Compounds,LBXVME,Blood MTBE (pg/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVMELC,Blood MTBE Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVOX,Blood o-Xylene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVOXLC,Blood o-Xylene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVST,Blood Styrene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVSTLC,Blood Styrene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVTC,Blood Trichloroethene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVTCLC,Blood Trichloroethene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVTE,"Blood 1,1,1-Trichloroethane (ng/mL)",laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVTELC,"Blood 1,1,1-Trichloroethane Comment Code",laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVTO,Blood Toluene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVTOLC,Blood Toluene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVXY,Blood m-/p-Xylene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVXYLC,Blood m-/p-Xylene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBX2DF,"Blood 2,5-Dimethylfuran (ng/mL)",laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBD2DFLC,"Blood 2,5-Dimethylfuran Comment Code",laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,LBXVNB,Blood Nitrobenezene (ng/mL),laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,LBDVNBLC,Blood Nitrobenezene Comment Code,laboratory,2005-2006,1,0
vocwb_d,Volatile Organic Compounds,VTQ210,Attached garage?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ220,Private well?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ230A,Toilet bowl deodorizers?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ230B,Moth balls or crystals?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ240A,Pump gas into a car or motor vehicle?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ240B,How long ago did you pump gas?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ250A,Spend time at swimming pool?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ250B,How long ago at swimming pool?,laboratory,2005-2006,0,0
