tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
dr1tot_e,Total Nutrients -- First Day,DR1TB12A,Added vitamin B12 (mcg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TVC,Vitamin C (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TVD,Vitamin D (D2 + D3) (mcg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TVK,Vitamin K (mcg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TCALC,Calcium (mg),Dietary,2007-2008,1,0
dr1tot_e,Total Nutrients -- First Day,DR1TPHOS,Phosphorus (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TMAGN,Magnesium (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TIRON,Iron (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TZINC,Zinc (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TCOPP,Copper (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TSODI,Sodium (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TPOTA,Potassium (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TSELE,Selenium (mcg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TCAFF,Caffeine (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TTHEO,Theobromine (mg),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TALCO,Alcohol (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TMOIS,Moisture (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS040,SFA 4:0 (Butanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS060,SFA 6:0 (Hexanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS080,SFA 8:0 (Octanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS100,SFA 10:0 (Decanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS120,SFA 12:0 (Dodecanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS140,SFA 14:0 (Tetradecanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS160,SFA 16:0 (Hexadecanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TS180,SFA 18:0 (Octadecanoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TM161,MFA 16:1 (Hexadecenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TM181,MFA 18:1 (Octadecenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TM201,MFA 20:1 (Eicosenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TM221,MFA 22:1 (Docosenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP182,PFA 18:2 (Octadecadienoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP183,PFA 18:3 (Octadecatrienoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP225,PFA 22:5 (Docosapentaenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TP226,PFA 22:6 (Docosahexaenoic) (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1_300,Compare food consumed yesterday to usual,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1_320Z,Total plain water drank yesterday (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1_330Z,Total tap water drank yesterday (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1BWATZ,Total bottled water drank yesterday (gm),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TWS,Tap water source,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD340,Shellfish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350A,Clams eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350AQ,# of times clams eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350B,Crabs eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350BQ,# of times crabs eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350C,Crayfish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350CQ,# of times crayfish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350D,Lobsters eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350DQ,# of times lobsters eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350E,Mussels eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350EQ,# of times mussels eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350F,Oysters eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350FQ,# of times oysters eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350G,Scallops eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350GQ,# of times scallops eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350H,Shrimp eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350HQ,# of times shrimp eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350I,Other shellfish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350IQ,# of times other shellfish eaten,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350J,Other unknown shellfish eaten past 30 d,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350JQ,# of times other unknown shellfish eaten,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD350K,Refused on shellfish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD360,Fish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370A,Breaded fish products eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370AQ,# of times breaded fish products eaten,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370B,Tuna eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370BQ,# of times tuna eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370C,Bass eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370CQ,# of times bass eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370D,Catfish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370DQ,# of times catfish eaten in past 30 days,Dietary,2007-2008,0,0
